rent_amt,location,bedrooms,title
"KSh 170,000","00, General mathenge, Westlands Area, Westlands",3,3 bedroom apartment for rent in Westlands Area
"KSh 120,000","Kilimani, Dagoretti North",3,3 bedroom apartment for rent in Kilimani
"KSh 200,000","Westlands Area, Westlands",3,3 bedroom apartment for rent in Westlands Area
"KSh 140,000","Westlands Area, Westlands",3,3 bedroom apartment for rent in Westlands Area
"KSh 220,000","Westlands Area, Westlands",3,3 bedroom apartment for rent in Westlands Area
"KSh 320,000","Westlands Area, Westlands",5,5 bedroom apartment for rent in Westlands Area
"KSh 299,000","Westlands Area, Westlands",3,3 bedroom apartment for rent in Westlands Area
"KSh 90,000","Westlands Area, Westlands",3,3 bedroom apartment for rent in Westlands Area
"KSh 120,000","00, Hatheru, Lavington, Dagoretti North",3,3 bedroom apartment for rent in Lavington
"KSh 110,000","Kileleshwa, Dagoretti North",2,2 bedroom apartment for rent in Kileleshwa
" KSh 200,000","Denis pritt, Kilimani, Dagoretti North",2,Furnished 2 bedroom apartment for rent in Kilimani
"KSh 160,000","Riverside close, Riverside, Westlands",3,3 bedroom apartment for rent in Riverside
"KSh 30,000","Roysambu Area, Roysambu",2,2 bedroom apartment for rent in Roysambu Area
"KSh 130,000","Riverside drive, Riverside, Westlands",2,2 bedroom apartment for rent in Riverside
"KSh 180,000 ","Riara rd, Lavington, Dagoretti North",2,Furnished 2 bedroom apartment for rent in Lavington
"KSh 300,000","Matundu lane, Brookside, Westlands",3,Furnished 3 bedroom apartment for rent in Brookside
"KSh 120,000","Westlands Area, Westlands",2,2 bedroom apartment for rent in Westlands Area
